sex,age,Medu,traveltime,studytime,failures,paid,activities,higher,internet,famrel,absences,G3
F,18,4,2,2,0,no,no,yes,no,4,6,6
F,17,1,1,2,0,no,no,yes,yes,5,4,6
F,15,1,1,2,3,yes,no,yes,yes,4,10,10
F,15,4,1,3,0,yes,yes,yes,yes,3,2,15
F,16,3,1,2,0,yes,no,yes,no,4,4,10
M,16,4,1,2,0,yes,yes,yes,yes,5,10,15
M,16,2,1,2,0,no,no,yes,yes,4,0,11
F,17,4,2,2,0,no,no,yes,no,4,6,6
M,15,3,1,2,0,yes,no,yes,yes,4,0,19
M,15,3,1,2,0,yes,yes,yes,yes,5,0,15
F,15,4,1,2,0,yes,no,yes,yes,3,0,9
F,15,2,3,3,0,no,yes,yes,yes,5,4,12
M,15,4,1,1,0,yes,yes,yes,yes,4,2,14
M,15,4,2,2,0,yes,no,yes,yes,5,2,11
M,15,2,1,3,0,no,no,yes,yes,4,0,16
F,16,4,1,1,0,no,no,yes,yes,4,4,14
F,16,4,1,3,0,yes,yes,yes,yes,3,6,14
F,16,3,3,2,0,no,yes,yes,no,5,4,10
M,17,3,1,1,3,no,yes,yes,yes,5,16,5
M,16,4,1,1,0,yes,yes,yes,yes,3,4,10
M,15,4,1,2,0,no,no,yes,yes,4,0,15
M,15,4,1,1,0,yes,no,yes,yes,5,0,15
M,16,4,1,2,0,no,yes,yes,yes,4,2,16
M,16,2,2,2,0,no,yes,yes,yes,5,0,12
F,15,2,1,3,0,yes,yes,yes,yes,4,2,8
F,16,2,1,1,2,yes,no,yes,yes,1,14,8
M,15,2,1,1,0,yes,no,yes,yes,4,2,11
M,15,4,1,1,0,yes,no,yes,yes,2,4,15
M,16,3,1,2,0,no,yes,yes,yes,5,4,11
M,16,4,1,2,0,yes,yes,yes,yes,4,16,11
M,15,4,1,2,0,yes,no,yes,yes,5,0,12
M,15,4,2,2,0,no,yes,yes,yes,4,0,17
M,15,4,1,2,0,no,yes,yes,yes,4,0,16
M,15,3,1,2,0,no,yes,yes,yes,5,0,12
M,16,3,1,1,0,yes,no,yes,yes,5,0,15
F,15,2,2,1,0,no,yes,yes,no,3,0,6
M,15,4,1,3,0,no,yes,yes,yes,5,2,18
M,16,4,2,3,0,no,yes,yes,yes,2,7,15
F,15,3,1,3,0,yes,yes,yes,yes,4,2,11
F,15,2,1,1,0,yes,yes,yes,no,4,8,13
F,16,2,2,2,1,no,yes,yes,yes,3,25,11
M,15,4,1,1,0,no,no,yes,yes,5,8,12
M,15,4,1,2,0,no,yes,yes,yes,4,2,18
M,15,2,1,1,0,no,no,yes,yes,5,0,11
F,16,2,2,2,1,no,yes,yes,yes,4,14,9
F,15,4,1,2,0,yes,yes,yes,yes,5,8,6
F,16,3,1,2,0,no,no,yes,yes,2,12,11
M,16,4,1,4,0,no,yes,yes,yes,4,4,20
M,15,4,1,2,0,yes,no,yes,no,4,2,14
F,15,4,1,2,1,no,yes,yes,yes,4,2,7
F,16,2,3,2,0,yes,no,yes,yes,4,2,13
F,15,4,1,2,0,yes,no,yes,yes,4,2,13
M,15,4,2,1,1,no,no,yes,no,5,6,10
F,15,4,1,1,0,yes,no,yes,yes,3,0,11
F,15,3,1,1,0,yes,no,yes,yes,5,6,13
F,16,2,1,2,0,yes,yes,yes,yes,5,8,10
F,15,4,1,2,0,yes,yes,yes,yes,4,0,15
M,15,4,1,2,0,no,yes,yes,no,3,4,15
M,15,1,1,2,0,no,yes,yes,yes,4,2,9
F,16,4,1,2,0,no,no,yes,yes,4,2,16
F,16,4,1,2,0,no,yes,yes,no,2,6,11
F,16,1,4,1,0,no,yes,yes,yes,5,6,11
F,16,1,1,2,0,no,yes,yes,yes,4,4,9
F,16,4,1,3,0,yes,yes,yes,yes,3,2,9
F,15,4,1,2,0,no,yes,yes,yes,4,0,10
F,16,4,3,2,0,no,yes,yes,yes,5,2,15
M,15,4,1,4,0,no,yes,yes,yes,1,4,12
F,16,3,1,4,0,yes,no,yes,yes,4,4,6
F,15,2,2,2,0,yes,no,yes,yes,4,2,8
F,15,3,2,4,0,no,no,yes,yes,4,12,16
M,16,3,2,4,0,yes,no,yes,yes,4,0,15
M,15,4,1,4,0,no,no,yes,yes,3,0,10
F,15,1,1,2,2,no,no,yes,yes,3,2,5
M,16,3,1,1,0,no,yes,yes,no,5,2,14
F,16,3,1,2,0,yes,yes,yes,yes,4,54,11
M,15,4,1,2,0,yes,yes,yes,yes,4,6,10
M,15,4,2,4,0,no,yes,yes,yes,3,8,10
F,16,2,1,4,0,yes,no,yes,yes,5,0,11
M,17,2,2,1,3,no,yes,no,yes,4,2,10
F,16,3,1,2,0,no,no,yes,yes,2,12,5
M,15,2,1,1,0,yes,yes,yes,yes,3,2,12
M,15,2,1,3,0,yes,no,yes,yes,5,4,11
F,15,3,1,2,0,yes,no,yes,yes,4,10,6
M,15,2,2,2,0,yes,yes,yes,yes,5,4,15
F,15,1,1,2,0,no,yes,yes,yes,4,2,10
F,15,4,2,2,2,yes,no,yes,yes,4,6,8
F,16,2,1,2,0,no,no,yes,no,4,4,6
F,15,4,1,3,0,no,yes,yes,yes,5,4,14
M,16,2,2,2,1,yes,yes,yes,yes,4,12,10
M,16,4,1,2,0,no,no,yes,no,4,18,7
F,16,3,1,3,0,yes,no,yes,yes,4,0,8
F,15,4,1,1,0,yes,yes,yes,yes,4,4,18
F,16,3,1,2,0,no,no,yes,no,3,4,6
F,16,4,2,2,0,yes,yes,yes,yes,5,0,10
M,15,2,1,4,0,no,yes,yes,yes,4,6,14
F,15,1,2,4,1,yes,yes,yes,yes,3,2,10
M,16,4,2,1,0,no,yes,yes,yes,3,2,15
F,16,2,1,2,0,yes,no,yes,no,4,2,10
F,16,4,1,1,0,no,yes,yes,yes,5,6,14
F,16,4,1,3,0,yes,no,yes,yes,5,0,8
M,16,4,1,1,0,yes,yes,yes,yes,4,14,5
M,16,4,1,3,0,no,yes,yes,yes,4,0,17
M,15,4,1,1,0,no,yes,yes,yes,5,4,14
F,15,3,2,2,0,yes,no,yes,yes,4,26,6
M,15,3,1,2,0,yes,yes,yes,yes,5,0,18
F,15,3,1,4,0,no,no,yes,no,4,10,11
F,15,2,1,4,0,yes,no,yes,yes,5,8,8
M,16,3,1,3,0,no,yes,yes,yes,5,2,18
M,15,4,4,4,0,yes,yes,yes,yes,1,6,13
F,16,4,1,3,0,yes,yes,yes,yes,5,4,16
M,15,4,1,1,0,no,yes,yes,yes,5,6,19
F,16,3,1,3,1,no,yes,yes,yes,4,0,10
F,16,2,1,2,1,no,yes,yes,yes,3,6,13
M,15,4,1,1,0,no,no,yes,yes,3,10,19
M,15,2,1,2,0,no,yes,yes,yes,5,8,9
M,16,4,1,2,0,no,yes,yes,yes,5,2,16
M,15,4,2,2,0,no,yes,yes,no,4,2,14
M,16,3,2,1,0,no,yes,yes,yes,5,0,13
M,17,1,3,2,1,no,yes,yes,yes,5,20,8
M,15,3,1,1,0,no,no,yes,yes,3,6,13
F,15,1,1,2,0,no,no,yes,yes,3,2,15
M,15,2,1,4,0,yes,yes,yes,yes,5,6,15
F,16,2,2,2,0,yes,yes,yes,yes,4,2,13
M,16,4,1,1,0,no,yes,yes,yes,3,18,13
F,16,2,1,2,0,yes,no,yes,yes,5,0,8
M,15,3,1,1,0,no,no,yes,yes,5,0,12
F,15,3,1,2,0,no,yes,yes,yes,5,0,11
F,19,0,1,2,3,no,no,no,no,3,2,9
M,18,2,1,1,2,no,yes,yes,yes,3,0,0
M,16,4,1,1,0,yes,yes,yes,yes,3,8,18
F,15,3,2,3,2,no,no,yes,yes,4,0,0
F,15,1,3,1,0,no,yes,yes,yes,4,0,0
F,17,2,1,1,0,no,no,yes,yes,3,12,12
F,16,3,1,1,0,no,no,yes,yes,3,16,11
M,15,3,4,2,0,no,no,yes,no,5,0,0
F,15,4,1,3,0,no,yes,yes,yes,4,0,0
M,17,3,3,2,0,no,no,yes,no,5,0,0
F,16,3,2,1,2,no,yes,yes,yes,4,0,0
M,16,1,1,2,1,no,no,yes,no,4,0,12
F,15,4,2,1,0,no,yes,yes,yes,4,0,15
M,15,4,2,4,0,no,no,yes,yes,2,0,0
M,16,2,2,1,2,no,yes,yes,yes,2,8,9
F,15,4,1,3,0,yes,yes,yes,yes,4,2,11
F,16,1,1,1,0,no,no,yes,yes,3,2,13
M,17,2,1,1,3,no,no,yes,yes,5,0,0
F,15,1,1,2,0,yes,no,yes,yes,4,0,11
F,15,3,1,2,3,no,no,yes,yes,3,0,0
F,15,1,1,2,0,yes,no,yes,yes,4,2,11
M,16,4,1,1,0,no,no,no,yes,3,0,0
M,15,2,4,1,3,no,no,yes,yes,4,0,10
M,18,1,1,1,3,no,no,no,yes,2,0,0
M,16,2,1,1,1,no,yes,yes,no,4,6,14
F,15,3,2,3,2,yes,yes,yes,yes,4,8,10
M,19,3,1,1,3,no,no,no,yes,4,0,0
F,17,4,1,1,0,no,no,yes,no,4,0,12
M,15,2,1,2,0,yes,yes,yes,no,4,2,8
M,17,1,1,1,0,no,no,yes,no,2,8,13
F,18,1,3,1,3,no,yes,yes,no,5,6,10
M,16,2,3,1,0,no,no,yes,no,4,2,15
M,16,3,1,2,1,yes,no,yes,yes,4,4,12
M,17,2,2,1,2,no,yes,no,yes,3,0,0
M,15,3,2,2,2,no,no,yes,yes,4,6,7
M,16,1,2,1,1,no,yes,yes,no,4,0,0
M,17,1,1,1,0,no,no,no,yes,5,2,10
M,17,1,4,2,3,no,yes,no,no,5,0,7
M,16,3,2,1,1,no,yes,no,no,4,16,12
M,16,2,1,2,0,no,no,no,yes,4,4,10
F,16,4,1,2,0,yes,no,yes,yes,4,0,16
F,16,2,1,2,0,yes,no,yes,yes,5,0,0
F,16,4,1,2,0,yes,no,yes,yes,4,0,14
M,16,3,3,1,2,no,yes,yes,yes,3,0,0
M,16,1,2,2,0,yes,yes,yes,yes,4,2,16
M,17,4,1,2,0,yes,yes,yes,yes,4,0,10
F,16,1,1,2,3,no,yes,yes,yes,4,0,0
F,16,3,2,2,0,yes,yes,yes,yes,4,4,9
M,17,4,2,2,0,yes,yes,yes,yes,4,4,9
F,16,2,2,2,0,yes,yes,yes,yes,3,2,11
M,17,3,1,2,0,no,yes,yes,yes,4,4,6
M,16,4,1,1,0,no,yes,yes,yes,4,10,9
M,17,4,1,2,0,no,yes,yes,yes,5,4,11
M,16,4,1,2,0,yes,yes,yes,yes,3,10,8
M,16,3,1,2,0,yes,yes,yes,yes,4,2,12
F,17,2,1,2,0,no,yes,yes,no,5,0,17
F,17,3,1,2,0,no,yes,yes,yes,5,56,8
F,16,3,1,2,0,yes,no,yes,yes,1,14,12
M,17,3,1,2,0,no,yes,yes,yes,4,12,11
M,16,1,1,1,0,yes,yes,yes,yes,3,2,11
M,16,2,1,2,0,yes,yes,yes,yes,4,0,15
F,17,3,1,2,0,no,no,yes,yes,3,6,9
M,17,1,1,2,0,no,no,yes,no,3,4,10
F,16,2,1,2,0,no,no,yes,yes,4,10,13
F,17,1,1,2,0,no,yes,yes,yes,5,0,9
M,17,1,2,2,0,yes,yes,yes,yes,4,12,8
M,16,3,1,1,0,no,yes,yes,yes,4,8,10
M,16,2,2,1,0,no,no,yes,yes,5,0,14
F,17,2,1,2,0,no,yes,yes,yes,4,0,15
M,17,4,1,1,0,no,no,yes,yes,5,4,16
M,16,3,3,1,0,yes,yes,yes,yes,3,8,10
F,17,4,2,1,1,no,no,yes,yes,4,24,18
F,16,4,1,2,0,yes,no,yes,yes,4,0,10
F,16,4,1,2,0,no,yes,yes,yes,4,2,16
F,16,2,1,2,0,yes,yes,yes,no,4,6,10
F,17,1,1,2,0,yes,no,yes,no,4,4,10
F,17,2,1,1,0,no,no,yes,yes,5,18,6
F,16,2,2,4,0,yes,yes,yes,yes,5,6,11
F,17,3,1,3,1,yes,no,yes,yes,4,28,9
F,16,3,1,2,3,yes,no,yes,yes,2,5,7
F,16,4,1,2,0,yes,yes,yes,yes,1,10,13
F,16,1,2,1,0,yes,no,yes,no,4,6,10
F,17,4,2,3,0,yes,yes,yes,yes,4,6,7
F,19,3,1,4,0,yes,yes,yes,yes,4,10,8
M,17,4,1,2,0,yes,no,yes,yes,5,13,13
F,16,2,1,2,0,yes,no,yes,yes,3,0,14
M,18,2,1,2,1,yes,yes,yes,yes,4,15,8
F,17,4,1,1,0,yes,no,yes,no,5,12,10
F,17,3,2,2,0,yes,no,yes,yes,4,2,15
F,17,4,1,2,2,yes,no,yes,yes,3,22,4
M,18,3,1,2,1,yes,no,yes,yes,3,13,8
F,17,2,2,1,0,yes,no,yes,no,3,3,8
F,17,2,1,3,0,yes,yes,yes,yes,4,4,10
F,17,2,2,2,0,no,yes,yes,yes,4,2,6
F,17,1,1,3,1,no,yes,yes,no,4,0,0
F,16,2,1,2,0,no,no,yes,yes,2,2,17
M,18,2,2,2,0,yes,no,yes,yes,3,0,13
F,16,4,1,3,0,no,yes,yes,yes,5,0,14
F,18,3,1,2,1,no,yes,yes,yes,5,16,7
F,17,3,1,2,0,no,yes,yes,yes,5,10,15
M,17,2,1,2,0,yes,no,yes,yes,5,2,12
M,18,2,4,2,0,yes,yes,yes,yes,4,14,9
F,17,2,2,3,0,no,yes,yes,yes,3,10,12
F,17,4,1,2,0,no,yes,yes,yes,3,14,14
M,17,2,2,2,0,yes,yes,yes,yes,4,4,11
M,17,4,1,2,0,no,yes,yes,yes,4,14,9
M,16,4,1,2,0,yes,yes,yes,yes,4,2,13
M,16,1,2,2,0,yes,no,yes,yes,3,18,6
M,16,3,2,3,0,no,yes,yes,yes,5,10,10
M,17,2,1,2,0,yes,yes,yes,yes,4,4,13
F,16,2,1,1,0,no,no,yes,yes,4,20,12
F,17,2,3,2,0,no,yes,yes,no,2,2,11
M,18,2,1,2,1,no,no,no,yes,5,0,0
M,17,4,2,2,0,no,yes,yes,yes,2,14,12
M,17,4,2,2,0,yes,no,yes,yes,3,2,12
M,16,4,1,1,0,no,yes,yes,yes,5,0,0
M,16,4,1,1,0,no,yes,yes,yes,5,0,12
F,18,2,2,3,0,yes,no,yes,yes,4,0,0
M,16,2,3,1,0,no,no,yes,yes,4,6,18
M,17,2,2,1,0,no,no,yes,yes,5,4,13
M,22,3,1,1,3,no,no,no,yes,5,16,8
M,18,3,1,2,1,no,no,yes,yes,4,8,5
M,16,0,1,1,0,yes,no,yes,yes,4,0,15
M,18,3,2,1,1,no,no,no,yes,4,0,8
M,16,3,3,2,0,no,no,yes,yes,5,6,10
M,18,2,1,1,1,no,no,no,yes,3,4,8
M,16,2,2,1,0,no,yes,yes,no,3,0,8
M,17,2,1,1,0,no,no,yes,yes,4,0,12
M,17,1,2,1,1,no,yes,yes,yes,4,2,8
F,17,4,1,4,0,yes,yes,yes,yes,4,6,13
M,19,4,1,2,0,no,no,yes,yes,4,12,11
M,18,2,1,2,0,no,yes,yes,yes,5,8,14
F,17,2,1,4,0,yes,yes,yes,yes,3,0,0
F,18,4,1,2,0,yes,no,yes,yes,3,21,18
M,18,4,1,2,0,yes,no,yes,yes,4,2,8
M,18,3,1,3,0,no,yes,yes,no,5,1,12
F,17,3,1,3,0,no,yes,yes,no,3,4,9
F,18,2,1,3,0,yes,yes,yes,yes,4,0,0
M,18,3,2,2,0,yes,yes,yes,yes,4,13,17
M,17,3,1,2,0,yes,yes,yes,yes,5,2,10
F,18,4,2,2,0,yes,yes,yes,yes,4,8,11
M,18,4,1,2,0,yes,yes,yes,yes,5,10,10
F,18,2,2,2,0,no,no,no,yes,4,0,0
F,19,3,1,2,2,yes,yes,yes,yes,4,15,9
F,18,2,1,4,0,yes,yes,yes,yes,4,4,14
F,18,1,2,2,0,yes,no,yes,no,4,2,11
M,17,1,1,2,0,yes,yes,yes,no,3,2,14
F,17,2,2,2,0,yes,no,yes,yes,4,2,10
F,17,2,2,2,0,yes,no,yes,yes,4,6,12
F,18,3,2,2,0,no,no,no,yes,4,75,9
M,18,4,2,1,0,yes,yes,yes,yes,3,22,9
F,18,4,1,2,1,no,yes,yes,yes,2,15,8
M,18,4,2,1,0,yes,yes,yes,yes,4,8,10
M,17,4,2,1,0,yes,yes,yes,yes,4,30,8
M,17,3,1,1,1,no,no,yes,yes,4,19,10
F,18,1,2,4,0,yes,yes,yes,no,5,1,12
F,18,1,2,2,0,no,yes,yes,yes,5,4,10
F,17,2,1,2,0,no,no,yes,yes,5,4,11
M,17,1,1,2,0,yes,no,yes,yes,4,2,11
F,18,2,1,3,0,yes,no,yes,yes,4,5,19
F,17,1,1,3,0,yes,no,yes,yes,4,6,12
M,18,2,1,3,0,yes,yes,yes,yes,4,6,14
M,18,4,1,2,0,yes,yes,yes,yes,5,9,15
M,18,4,1,2,0,yes,yes,yes,yes,4,11,11
F,17,4,1,3,0,yes,no,yes,yes,4,0,15
F,18,2,1,2,1,no,no,yes,yes,5,12,13
F,17,3,2,4,0,yes,no,yes,no,3,6,18
M,18,3,2,3,0,yes,yes,yes,yes,5,8,14
M,17,3,1,1,0,yes,no,yes,yes,4,4,11
F,19,4,2,2,0,yes,yes,yes,yes,2,0,0
F,18,4,2,2,0,yes,no,yes,yes,4,10,8
F,18,4,1,4,0,yes,no,yes,yes,4,0,14
M,18,4,1,1,0,yes,no,yes,yes,1,5,16
F,18,4,1,2,0,no,no,yes,yes,4,14,11
M,17,4,2,1,0,yes,no,yes,yes,4,0,10
F,17,4,2,3,0,yes,no,yes,yes,4,0,14
F,17,3,1,4,0,yes,yes,yes,yes,5,0,18
M,19,3,1,2,1,no,yes,yes,yes,4,20,13
F,18,2,1,2,1,yes,yes,yes,yes,4,8,12
M,20,3,1,1,0,no,yes,yes,no,5,0,18
M,19,4,2,1,1,yes,no,yes,yes,4,38,8
M,19,3,1,2,1,no,yes,yes,no,4,0,12
F,19,1,1,2,1,no,yes,yes,yes,4,18,10
F,19,1,1,2,1,no,yes,yes,no,4,0,0
F,19,2,3,2,0,no,no,no,yes,3,20,13
M,19,1,1,2,1,no,no,yes,yes,4,3,11
F,19,3,2,2,1,yes,no,yes,yes,4,22,11
F,19,1,1,3,2,no,no,yes,yes,4,14,13
F,19,2,1,3,1,no,no,yes,yes,4,40,11
F,18,2,2,2,0,yes,yes,yes,yes,5,0,0
F,18,4,1,3,0,yes,yes,yes,yes,4,9,9
F,17,3,1,3,0,yes,yes,yes,yes,4,0,10
F,18,4,1,2,0,yes,no,yes,yes,4,2,11
F,17,4,1,2,0,yes,no,yes,yes,5,23,13
F,17,2,1,2,0,no,no,yes,no,4,12,9
F,17,2,1,3,0,yes,yes,yes,yes,3,3,11
F,17,3,1,3,0,no,no,yes,yes,3,1,15
F,17,0,2,3,0,no,no,yes,yes,3,0,15
M,18,4,1,3,0,no,yes,yes,yes,4,3,11
M,17,3,1,1,0,no,yes,yes,yes,4,3,16
M,17,2,4,1,0,no,no,yes,yes,4,8,10
F,17,4,1,3,0,yes,yes,yes,yes,5,7,9
F,17,4,2,3,0,yes,no,yes,yes,4,4,14
M,18,2,1,4,0,no,yes,yes,yes,4,2,8
F,17,2,1,3,0,no,no,yes,yes,4,7,14
F,18,3,1,2,0,no,yes,yes,yes,5,0,0
F,18,2,1,2,0,no,yes,yes,yes,4,0,0
F,18,2,2,4,0,no,yes,yes,no,4,0,0
F,17,3,1,3,0,no,no,yes,yes,4,16,15
F,19,3,1,3,1,yes,no,yes,no,5,12,13
F,17,3,1,2,0,yes,no,yes,yes,4,0,0
F,18,3,1,4,0,no,no,yes,yes,5,7,17
F,17,3,1,2,0,yes,no,yes,yes,4,4,10
F,19,2,1,3,1,yes,yes,yes,yes,4,4,11
M,18,4,1,2,1,no,yes,yes,yes,4,0,0
M,18,3,1,2,0,no,yes,yes,yes,4,11,15
F,17,2,1,2,1,no,no,yes,yes,3,0,0
F,18,2,1,3,0,no,no,yes,yes,4,4,10
F,18,3,1,3,0,no,no,yes,yes,5,7,14
M,18,4,1,3,0,no,no,yes,yes,5,9,16
M,18,4,1,3,0,yes,no,yes,yes,5,0,9
F,17,4,1,3,0,yes,yes,yes,yes,4,0,15
M,18,3,2,1,1,no,no,yes,yes,2,10,13
M,19,1,3,2,3,no,no,yes,yes,5,8,8
M,17,3,2,2,0,yes,no,yes,yes,4,2,13
M,18,1,1,1,1,no,no,no,yes,4,7,8
M,19,1,3,1,1,no,no,yes,yes,4,4,8
M,17,4,2,2,0,yes,yes,yes,yes,4,4,11
F,18,3,1,2,0,no,no,yes,no,5,0,9
F,17,4,2,2,0,yes,yes,yes,yes,4,4,13
F,17,3,2,2,0,no,no,yes,no,1,2,11
M,18,1,2,1,0,no,no,yes,yes,3,4,10
F,18,1,2,3,0,no,no,yes,yes,5,0,16
F,18,1,3,2,0,no,no,yes,no,4,0,13
M,18,1,2,2,1,no,yes,no,no,4,2,12
F,18,3,2,2,0,no,no,yes,yes,4,0,10
F,17,4,1,2,0,yes,yes,yes,yes,2,0,15
F,17,1,2,2,0,no,no,yes,no,3,0,12
M,18,1,2,2,0,yes,no,yes,no,3,4,10
M,18,4,2,3,0,yes,no,yes,yes,4,0,13
F,17,1,3,1,1,yes,no,yes,yes,5,0,0
F,18,2,2,1,0,yes,no,yes,yes,5,0,10
F,18,4,3,2,0,yes,no,yes,yes,3,10,11
F,19,3,2,2,2,no,yes,yes,no,3,4,9
M,18,1,3,1,0,yes,yes,no,yes,4,3,12
F,17,2,1,3,0,no,yes,yes,no,3,8,11
F,17,1,1,1,0,no,yes,yes,yes,3,14,5
F,18,4,2,3,0,no,no,yes,yes,5,0,19
F,18,1,4,3,0,no,no,yes,yes,4,2,10
F,20,4,2,3,2,yes,no,yes,yes,5,4,15
F,18,4,1,2,0,yes,yes,yes,yes,5,4,10
F,18,3,1,2,0,yes,no,yes,yes,4,0,15
F,17,3,1,2,0,yes,yes,yes,yes,4,17,10
M,18,4,1,2,0,yes,yes,yes,yes,3,4,14
M,18,2,2,1,0,no,yes,yes,yes,4,5,7
M,17,2,2,2,0,no,yes,yes,yes,4,2,10
M,19,1,2,1,1,no,no,yes,no,4,0,0
M,18,4,2,1,1,yes,no,yes,no,5,14,5
F,18,2,2,3,0,yes,no,yes,no,5,2,10
F,18,4,3,1,0,yes,yes,yes,yes,4,7,6
F,19,2,1,3,1,no,yes,yes,yes,5,0,0
F,18,3,1,2,0,yes,no,yes,yes,4,0,8
F,18,1,2,2,1,no,yes,yes,no,1,0,0
M,20,2,1,2,2,yes,no,yes,no,5,11,9
M,17,3,2,1,0,no,no,yes,yes,2,3,16
M,21,1,1,1,3,no,no,yes,no,5,3,7
M,18,3,3,1,0,no,no,yes,yes,4,0,10
M,19,1,1,1,0,no,no,yes,yes,3,5,9
